DexNumber,Name,DefName,Type1,Type2,HP,Attack,Defense,SpAttack,SpDefense,Speed,Size,SizeMulti,Mass,GenderDifference,BaseFriendship,GenderLess,FemaleRatio,EvolTier,EvolLine,EvolMax,LvlBasedEvolution,EvolLvl,Baby,Fossil,Legendary,ParticularSpawn,Rarity,MinWildLvl,MaxWildLvl,XpCategory,CatchRate,EggGroup1,EggGroup2,EggCycles,EggLayTime,EggHatchTime,ExpYield,HPEv,AttackEv,DefenseEv,SpAttackEv,SpDefenseEv,SpeedEv,RimworldShape
108,Lickitung,Lickitung,Normal,,90,55,75,60,75,30,1.2,1,65.5,0,50,0,0.5,1,48,0,1,35,0,0,0,0,3,12,20,MediumFast,45,Monster,,20,6.7,13.3,127,2,0,0,0,0,0,BipedPokemonWithTail
109,Koffing,Koffing,Poison,,40,65,95,60,45,35,0.6,1,1,0,50,0,0.5,1,49,0,1,35,0,0,0,0,1,8,18,MediumFast,190,Amorphous,,20,6.7,13.3,114,0,0,1,0,0,0,HeadPokemon
110,Weezing,Weezing,Poison,,65,90,120,85,70,60,1.2,1,9.5,0,50,0,0.5,2,49,1,0,0,0,0,0,0,5,35,40,MediumFast,60,Amorphous,,20,6.7,13.3,173,0,0,2,0,0,0,MultipleBodiedPokemon2Head
111,Rhyhorn,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,1,115,0,50,0,0.5,1,50,0,1,42,0,0,0,0,4,12,26,Slow,120,Monster,Field,20,6.7,13.3,135,0,0,1,0,0,0,QuadrupedPokemonWithPaws
112,Rhydon,Rhydon,Ground,Rock,105,130,120,45,45,40,1.9,1,120,0,50,0,0.5,2,50,0,1,50,0,0,0,0,6,42,46,Slow,60,Monster,Field,20,6.7,13.3,204,0,2,0,0,0,0,BipedPokemonWithTail
113,Chansey,Chansey,Normal,,250,5,5,35,105,50,1.1,1,34.6,0,140,0,1,2,51,0,0,0,0,0,0,0,6,26,34,Fast,30,Fairy,,40,13.3,26.7,255,2,0,0,0,0,0,BipedPokemonWithTail
114,Tangela,Tangela,Grass,,65,55,115,100,40,60,1,1,35,0,50,0,0.5,1,52,0,1,32,0,0,0,0,3,18,30,MediumFast,45,Grass,,20,6.7,13.3,166,0,0,1,0,0,0,HeadPokemonWithLegs
115,Kangaskhan,Kangaskhan,Normal,,105,95,80,40,80,90,2.2,1,80,0,50,0,1,1,53,1,0,0,0,0,0,0,5,28,36,MediumFast,45,Monster,,20,6.7,13.3,175,2,0,0,0,0,0,BipedPokemonWithTail
116,Horsea,Horsea,Water,,30,40,70,70,25,60,0.4,1,8,0,50,0,0.5,1,54,0,1,32,0,0,0,0,2,8,16,MediumFast,225,Water1,Dragon,20,6.7,13.3,83,0,0,0,1,0,0,HeadPokemonWithBody
117,Seadra,Seadra,Water,,55,65,95,95,45,85,1.2,1,25,0,50,0,0.5,2,54,0,1,45,0,0,0,0,6,32,38,MediumFast,75,Water1,Dragon,20,6.7,13.3,155,0,0,1,1,0,0,HeadPokemonWithBody
118,Goldeen,Goldeen,Water,,45,67,60,35,50,63,0.6,1,15,0,50,0,0.5,1,55,0,1,33,0,0,0,0,1,6,16,MediumFast,225,Water2,,20,6.7,13.3,111,0,1,0,0,0,0,FishPokemonWithPectoralCaudalDorsalFins
119,Seaking,Seaking,Water,,80,92,65,65,80,68,1.3,1,39,0,50,0,0.5,2,55,1,0,0,0,0,0,0,5,33,38,MediumFast,60,Water2,,20,6.7,13.3,170,0,2,0,0,0,0,FishPokemonWithPectoralCaudalDorsalFins
120,Staryu,Staryu,Water,,30,45,55,70,55,85,0.8,1,34.5,0,50,1,-1,1,56,0,0,0,0,0,0,0,2,6,18,Slow,225,Water3,,20,6.7,13.3,106,0,0,0,0,0,1,HeadPokemonWithBody
121,Starmie,Starmie,Water,Psychic,60,75,85,100,85,115,1.1,1,80,0,50,1,-1,2,56,1,0,0,0,0,0,0,6,30,38,Slow,60,Water3,,20,6.7,13.3,207,0,0,0,0,0,2,HeadPokemonWithBody
122,Mr. Mime,MrMime,Psychic,Fairy,40,45,65,100,120,90,1.3,1,54.5,0,50,0,0.5,2,57,1,0,0,0,0,0,0,5,18,30,MediumFast,45,HumanLike,,25,8.3,16.7,136,0,0,0,0,2,0,BipedPokemon
123,Scyther,Scyther,Bug,Flying,70,110,80,55,80,105,1.5,1,56,0,50,0,0.5,1,58,0,1,40,0,0,0,0,5,24,30,MediumFast,45,Bug,,25,8.3,16.7,187,0,1,0,0,0,0,InsectPokemonWithWingsAndLegs
124,Jynx,Jynx,Ice,Psychic,65,50,35,115,95,95,1.4,1,40.6,0,50,0,1,2,59,1,0,0,0,0,0,0,5,18,30,MediumFast,45,HumanLike,,25,8.3,16.7,137,0,0,0,2,0,0,BipedPokemon
125,Electabuzz,Electabuzz,Electric,,65,83,57,95,85,105,1.1,1,30,0,50,0,0.25,2,60,0,1,43,0,0,0,0,4,18,30,MediumFast,45,HumanLike,,25,8.3,16.7,156,0,0,0,0,0,2,BipedPokemonWithTail
126,Magmar,Magmar,Fire,,65,95,57,100,85,93,1.3,1,44.5,0,50,0,0.25,2,61,0,1,43,0,0,0,0,4,18,30,MediumFast,45,HumanLike,,25,8.3,16.7,167,0,0,0,2,0,0,BipedPokemonWithTail
127,Pinsir,Pinsir,Bug,,65,125,100,55,70,85,1.5,1,55,0,50,0,0.5,1,62,1,0,0,0,0,0,0,5,24,34,Slow,45,Bug,,25,8.3,16.7,200,0,2,0,0,0,0,BipedPokemon
128,Tauros,Tauros,Normal,,75,100,95,40,70,110,1.4,1,88.4,0,50,0,0,1,63,1,0,0,0,0,0,0,4,24,34,Slow,45,Field,,20,6.7,13.3,211,0,1,0,0,0,1,QuadrupedPokemonWithHoovesAndTail
129,Magikarp,Magikarp,Water,,20,10,55,15,20,80,0.9,1,10,0,50,0,0.5,1,64,0,1,20,0,0,0,0,1,3,8,Slow,255,Water2,Dragon,5,1.7,3.3,20,0,0,0,0,0,1,FishPokemonWithPectoralCaudalDorsalFins
130,Gyarados,Gyarados,Water,Flying,95,125,79,60,100,81,6.5,1,235,0,50,0,0.5,2,64,1,0,0,0,0,0,0,7,30,40,Slow,45,Water2,Dragon,5,1.7,3.3,214,0,2,0,0,0,0,SnakePokemon
131,Lapras,Lapras,Water,Ice,130,85,80,85,95,60,2.5,1,220,0,50,0,0.5,1,65,1,0,0,0,0,0,0,6,30,40,Slow,45,Monster,Water1,40,13.3,26.7,219,2,0,0,0,0,0,FishPokemonWithPectoralCaudalDorsalFins
132,Ditto,Ditto,Normal,,48,48,48,48,48,48,0.3,1,4,0,50,1,-1,1,66,1,0,0,0,0,0,0,5,24,30,MediumFast,35,Ditto,,20,6.7,13.3,61,1,0,0,0,0,0,HeadPokemon
133,Eevee,Eevee,Normal,,55,55,50,45,65,55,0.3,1,6.5,0,50,0,0.125,1,67,0,0,0,0,0,0,0,3,12,20,MediumFast,45,Field,,35,11.7,23.3,92,0,0,0,0,1,0,QuadrupedPokemonWithPaws
134,Vaporeon,Vaporeon,Water,,130,65,60,110,95,65,1,1,29,0,50,0,0.125,2,67,1,0,0,0,0,0,0,7,26,34,MediumFast,45,Field,,35,11.7,23.3,196,2,0,0,0,0,0,QuadrupedPokemonWithPaws
135,Jolteon,Jolteon,Electric,,65,65,60,110,95,130,0.8,1,24.5,0,50,0,0.125,2,67,1,0,0,0,0,0,0,7,26,34,MediumFast,45,Field,,35,11.7,23.3,197,0,0,0,0,0,2,QuadrupedPokemonWithPaws
136,Flareon,Flareon,Fire,,65,130,60,95,110,65,0.9,1,25,0,50,0,0.125,2,67,1,0,0,0,0,0,0,7,26,34,MediumFast,45,Field,,35,11.7,23.3,198,0,2,0,0,0,0,QuadrupedPokemonWithPaws
137,Porygon,Porygon,Normal,,65,60,70,85,75,40,0.8,1,36.5,0,50,1,-1,1,68,0,0,0,0,0,0,1,5,20,20,MediumFast,45,Mineral,,20,6.7,13.3,130,0,0,0,1,0,0,HeadPokemonWithLegs
138,Omanyte,Omanyte,Rock,Water,35,40,100,90,55,35,0.4,1,7.5,0,50,0,0.125,1,69,0,1,40,0,1,0,0,4,20,20,MediumFast,45,Water1,Water3,30,10,20,99,0,0,1,0,0,0,TentaclePokemonWithShell
139,Omastar,Omastar,Rock,Water,70,60,125,115,70,55,1,1,35,0,50,0,0.125,2,69,1,0,0,0,1,0,0,6,40,40,MediumFast,45,Water1,Water3,30,10,20,199,0,0,2,0,0,0,TentaclePokemonWithShell
140,Kabuto,Kabuto,Rock,Water,30,80,90,55,45,55,0.5,1,11.5,0,50,0,0.125,1,70,0,1,40,0,1,0,0,4,20,20,MediumFast,45,Water1,Water3,30,10,20,99,0,0,1,0,0,0,InsectPokemonWith4Legs
141,Kabutops,Kabutops,Rock,Water,60,115,105,65,70,80,1.3,1,40.5,0,50,0,0.125,2,70,1,0,0,0,1,0,0,6,40,40,MediumFast,45,Water1,Water3,30,10,20,199,0,2,0,0,0,0,BipedPokemonWithTail
142,Aerodactyl,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1.8,1,59,0,50,0,0.125,1,71,1,0,0,0,1,0,0,7,20,20,Slow,45,Flying,,35,11.7,23.3,202,0,0,0,0,0,2,WingedPokemonWithJaw
143,Snorlax,Snorlax,Normal,,160,110,65,65,110,30,2.1,1,460,0,50,0,0.125,2,72,1,0,0,0,0,0,0,6,30,40,Slow,25,Monster,,40,13.3,26.7,154,2,0,0,0,0,0,BipedPokemon
144,Articuno,Articuno,Ice,Flying,90,85,100,95,125,85,1.7,1,55.4,0,35,1,-1,1,73,1,0,0,0,0,1,0,10,50,50,Slow,3,Undiscovered,,80,26.7,53.3,215,0,0,0,0,3,0,WingedPokemonWithBeak
145,Zapdos,Zapdos,Electric,Flying,90,90,85,125,90,100,1.6,1,52.6,0,35,1,-1,1,74,1,0,0,0,0,1,0,10,50,50,Slow,3,Undiscovered,,80,26.7,53.3,216,0,0,0,3,0,0,WingedPokemonWithBeak
146,Moltres,Moltres,Fire,Flying,90,100,90,125,85,90,2,1,60,0,35,1,-1,1,75,1,0,0,0,0,1,0,10,50,50,Slow,3,Undiscovered,,80,26.7,53.3,217,0,0,0,3,0,0,WingedPokemonWithBeak
147,Dratini,Dratini,Dragon,,41,64,45,50,50,50,1,1,3.3,0,35,0,0.5,1,76,0,1,30,0,0,0,0,5,14,20,Slow,45,Water1,Dragon,40,13.3,26.7,67,0,1,0,0,0,0,SnakePokemon
148,Dragonair,Dragonair,Dragon,,61,84,65,70,70,70,1.9,1,16.5,0,35,0,0.5,2,76,0,1,55,0,0,0,0,7,30,38,Slow,45,Water1,Dragon,40,13.3,26.7,144,0,2,0,0,0,0,SnakePokemon
149,Dragonite,Dragonite,Dragon,Flying,91,134,95,100,100,80,2.2,1,210,0,35,0,0.5,3,76,1,0,0,0,0,0,0,9,55,58,Slow,45,Water1,Dragon,40,13.3,26.7,218,0,3,0,0,0,0,BipedPokemonWithTail
150,Mewtwo,Mewtwo,Psychic,,106,110,90,154,90,130,2,1,122,0,0,1,-1,1,77,1,0,0,0,0,1,0,10,70,70,Slow,3,Undiscovered,,120,40,80,220,0,0,0,3,0,0,BipedPokemonWithTail
151,Mew,Mew,Psychic,,100,100,100,100,100,100,0.4,1,4,0,100,1,-1,1,78,1,0,0,0,0,1,0,10,30,30,MediumSlow,45,Undiscovered,,120,40,80,64,3,0,0,0,0,0,BipedPokemonWithTail
152,Chikorita,Chikorita,Grass,,45,49,65,49,65,45,0.9,1,6.4,0,50,0,0.125,1,79,0,1,16,0,0,0,0,3,5,12,MediumSlow,45,Monster,Grass,20,6.7,13.3,64,0,0,0,0,1,0,QuadrupedPokemonWithPaws
153,Bayleef,Bayleef,Grass,,60,62,80,63,80,60,1.2,1,15.8,0,50,0,0.125,2,79,0,1,32,0,0,0,0,5,20,27,MediumSlow,45,Monster,Grass,20,6.7,13.3,141,0,0,1,0,1,0,QuadrupedPokemonWithPaws
154,Meganium,Meganium,Grass,,80,82,100,83,100,80,1.8,1,100.5,1,50,0,0.125,3,79,1,0,0,0,0,0,0,7,35,42,MediumSlow,45,Monster,Grass,20,6.7,13.3,208,0,0,1,0,2,0,QuadrupedPokemonWithPaws
155,Cyndaquil,Cyndaquil,Fire,,39,52,43,60,50,65,0.5,1,7.9,0,50,0,0.125,1,80,0,1,14,0,0,0,0,3,5,12,MediumSlow,45,Field,,20,6.7,13.3,65,0,0,0,0,0,1,BipedPokemon
156,Quilava,Quilava,Fire,,58,64,58,80,65,80,0.9,1,19,0,50,0,0.125,2,80,0,1,36,0,0,0,0,5,20,27,MediumSlow,45,Field,,20,6.7,13.3,142,0,0,0,1,0,1,QuadrupedPokemonWithPaws
157,Typhlosion,Typhlosion,Fire,,78,84,78,109,85,100,1.7,1,79.5,0,50,0,0.125,3,80,1,0,0,0,0,0,0,7,36,42,MediumSlow,45,Field,,20,6.7,13.3,209,0,0,0,3,0,0,QuadrupedPokemonWithPaws
158,Totodile,Totodile,Water,,50,65,64,44,48,43,0.6,1,9.5,0,50,0,0.125,1,81,0,1,18,0,0,0,0,3,5,12,MediumSlow,45,Monster,Water1,20,6.7,13.3,66,0,1,0,0,0,0,BipedPokemonWithTail
159,Croconaw,Croconaw,Water,,65,80,80,59,63,58,1.1,1,25,0,50,0,0.125,2,81,0,1,30,0,0,0,0,5,20,27,MediumSlow,45,Monster,Water1,20,6.7,13.3,143,0,1,1,0,0,0,BipedPokemonWithTail
160,Feraligatr,Feraligatr,Water,,85,105,100,79,83,78,2.3,1,88.8,0,50,0,0.125,3,81,1,0,0,0,0,0,0,7,36,42,MediumSlow,45,Monster,Water1,20,6.7,13.3,210,0,2,1,0,0,0,BipedPokemonWithTail
161,Sentret,Sentret,Normal,,35,46,34,35,45,20,0.8,1,6,0,50,0,0.5,1,82,0,1,15,0,0,0,0,1,3,10,MediumFast,255,Field,,15,5,10,57,0,1,0,0,0,0,QuadrupedPokemonWithPaws
162,Furret,Furret,Normal,,85,76,64,45,55,90,1.8,1,32.5,0,50,0,0.5,2,82,1,0,0,0,0,0,0,4,18,22,MediumFast,90,Field,,15,5,10,116,0,0,0,0,0,2,QuadrupedPokemonWithPaws
163,Hoothoot,Hoothoot,Normal,Flying,60,30,30,36,56,50,0.7,1,21.2,0,50,0,0.5,1,83,0,1,20,0,0,0,0,1,4,10,MediumFast,255,Flying,,15,5,10,58,1,0,0,0,0,0,WingedPokemonWithBeak
164,Noctowl,Noctowl,Normal,Flying,100,50,50,86,96,70,1.6,1,40.8,0,50,0,0.5,2,83,1,0,0,0,0,0,0,4,21,27,MediumFast,90,Flying,,15,5,10,162,2,0,0,0,0,0,WingedPokemonWithBeak
165,Ledyba,Ledyba,Bug,Flying,40,20,30,40,80,55,1,1,10.8,0,50,0,0.5,1,84,0,1,18,0,0,0,0,1,4,12,Fast,255,Bug,,15,5,10,54,0,0,0,0,1,0,InsectPokemonWithWingsAndLegs
166,Ledian,Ledian,Bug,Flying,55,35,50,55,110,85,1.4,1,35.6,0,50,0,0.5,2,84,1,0,0,0,0,0,0,5,18,24,Fast,90,Bug,,15,5,10,134,0,0,0,0,2,0,InsectPokemonWithWingsAndLegs
167,Spinarak,Spinarak,Bug,Poison,40,60,40,40,40,30,0.5,1,8.5,0,50,0,0.5,1,85,0,1,22,0,0,0,0,1,4,10,Fast,255,Bug,,15,5,10,54,0,1,0,0,0,0,InsectPokemonWith6Legs
168,Ariados,Ariados,Bug,Poison,70,90,70,60,70,40,1.1,1,33.5,0,50,0,0.5,2,85,1,0,0,0,0,0,0,5,22,26,Fast,90,Bug,,15,5,10,134,0,2,0,0,0,0,InsectPokemonWith4Legs
169,Crobat,Crobat,Poison,Flying,85,90,80,70,80,130,1.8,1,75,0,50,0,0.5,3,17,1,0,0,0,0,0,0,7,30,36,MediumFast,90,Flying,,15,5,10,204,0,0,0,0,0,3,InsectPokemonWithWingsAndLegs
170,Chinchou,Chinchou,Water,Electric,75,38,38,56,56,67,0.5,1,12,0,50,0,0.5,1,86,0,1,27,0,0,0,0,1,4,12,Slow,190,Water2,,20,6.7,13.3,90,1,0,0,0,0,0,FishPokemonWithPectoralCaudalDorsalFins
171,Lanturn,Lanturn,Water,Electric,125,58,58,76,76,67,1.2,1,22.5,0,50,0,0.5,2,86,1,0,0,0,0,0,0,5,27,32,Slow,75,Water2,,20,6.7,13.3,156,2,0,0,0,0,0,FishPokemonWithPectoralCaudalDorsalFins
172,Pichu,Pichu,Electric,,20,40,15,35,35,60,0.3,1,2,0,50,0,0.5,1,10,0,0,0,1,0,0,0,3,2,5,MediumFast,190,Undiscovered,,10,3.3,6.7,42,0,0,0,0,0,1,QuadrupedPokemonWithPaws
173,Cleffa,Cleffa,Fairy,,50,25,28,45,55,15,0.3,1,3,0,140,0,0.75,1,14,0,0,0,1,0,0,0,3,2,5,Fast,150,Undiscovered,,10,3.3,6.7,37,0,0,0,0,1,0,BipedPokemonWithTail
174,Igglybuff,Igglybuff,Normal,Fairy,90,30,15,40,20,15,0.3,1,1,0,50,0,0.75,1,16,0,0,0,1,0,0,0,3,2,5,Fast,170,Undiscovered,,10,3.3,6.7,39,1,0,0,0,0,0,BipedPokemon
175,Togepi,Togepi,Fairy,,35,20,65,40,65,20,0.3,1,1.5,0,50,0,0.125,1,87,0,0,0,1,0,0,0,3,2,5,Fast,190,Undiscovered,,10,3.3,6.7,74,0,0,0,0,1,0,BipedPokemon
176,Togetic,Togetic,Fairy,Flying,55,40,85,80,105,40,0.6,1,3.2,0,50,0,0.125,2,87,0,0,0,0,0,0,0,6,16,22,Fast,75,Flying,Fairy,10,3.3,6.7,114,0,0,0,0,2,0,BipedPokemon
177,Natu,Natu,Psychic,Flying,40,50,45,70,45,70,0.2,1,2,0,50,0,0.5,1,88,0,1,25,0,0,0,0,2,5,13,MediumFast,190,Flying,,20,6.7,13.3,73,0,0,0,1,0,0,WingedPokemonWithBeak
178,Xatu,Xatu,Psychic,Flying,65,75,70,95,70,95,1.5,1,15,0,50,0,0.5,2,88,1,0,0,0,0,0,0,6,26,30,MediumFast,75,Flying,,20,6.7,13.3,171,0,0,0,1,0,1,WingedPokemonWithBeak
179,Mareep,Mareep,Electric,,55,40,40,65,45,35,0.6,1,7.8,0,50,0,0.5,1,89,0,1,15,0,0,0,0,1,3,8,MediumSlow,235,Monster,Field,20,6.7,13.3,59,0,0,0,1,0,0,QuadrupedPokemonWithPaws
180,Flaaffy,Flaaffy,Electric,,70,55,55,80,60,45,0.8,1,13.3,0,50,0,0.5,2,89,0,1,30,0,0,0,0,4,15,20,MediumSlow,120,Monster,Field,20,6.7,13.3,117,0,0,0,2,0,0,BipedPokemonWithTail
181,Ampharos,Ampharos,Electric,,90,75,85,115,90,55,1.4,1,61.5,0,50,0,0.5,3,89,1,0,0,0,0,0,0,7,32,36,MediumSlow,45,Monster,Field,20,6.7,13.3,194,0,0,0,3,0,0,BipedPokemonWithTail
182,Bellossom,Bellossom,Grass,,75,80,95,90,100,50,0.4,1,5.8,0,50,0,0.5,3,18,1,0,0,0,0,0,0,6,30,36,MediumSlow,45,Grass,,20,6.7,13.3,184,0,0,0,0,3,0,BipedPokemon
183,Marill,Marill,Water,Fairy,70,20,50,20,50,40,0.4,1,8.5,0,50,0,0.5,2,90,0,1,18,0,0,0,0,3,5,12,Fast,190,Water1,Fairy,10,3.3,6.7,58,2,0,0,0,0,0,BipedPokemonWithTail
184,Azumarill,Azumarill,Water,Fairy,100,50,80,60,80,50,0.8,1,28.5,0,50,0,0.5,3,90,1,0,0,0,0,0,0,6,24,30,Fast,75,Water1,Fairy,10,3.3,6.7,153,3,0,0,0,0,0,BipedPokemonWithTail
185,Sudowoodo,Sudowoodo,Rock,,70,100,115,30,65,30,1.2,1,38,0,50,0,0.5,2,91,1,0,0,0,0,0,0,5,18,24,MediumFast,65,Mineral,,20,6.7,13.3,135,0,0,2,0,0,0,BipedPokemon
186,Politoed,Politoed,Water,,90,75,75,90,100,70,1.1,1,33.9,0,50,0,0.5,3,26,1,0,0,0,0,0,0,6,30,36,MediumSlow,45,Water1,,20,6.7,13.3,185,0,0,0,0,3,0,BipedPokemon
187,Hoppip,Hoppip,Grass,Flying,35,35,40,35,55,50,0.4,1,0.5,0,50,0,0.5,1,92,0,1,18,0,0,0,0,1,3,8,MediumSlow,255,Fairy,Grass,20,6.7,13.3,74,0,0,0,0,1,0,BipedPokemonWithTail
188,Skiploom,Skiploom,Grass,Flying,55,45,50,45,65,80,0.6,1,1,0,50,0,0.5,2,92,0,1,27,0,0,0,0,3,18,22,MediumSlow,120,Fairy,Grass,20,6.7,13.3,136,0,0,0,0,0,2,BipedPokemonWithTail
189,Jumpluff,Jumpluff,Grass,Flying,75,55,70,55,95,110,0.8,1,3,0,50,0,0.5,3,92,1,0,0,0,0,0,0,5,28,34,MediumSlow,45,Fairy,Grass,20,6.7,13.3,176,0,0,0,0,0,3,BipedPokemonWithTail
190,Aipom,Aipom,Normal,,55,70,55,40,55,85,0.8,1,11.5,0,50,0,0.5,1,93,0,1,32,0,0,0,0,4,12,20,Fast,45,Field,,20,6.7,13.3,94,0,0,0,0,0,1,BipedPokemonWithTail
191,Sunkern,Sunkern,Grass,,30,30,30,30,30,30,0.3,1,1.8,0,50,0,0.5,1,94,0,0,0,0,0,0,0,1,3,8,MediumSlow,235,Grass,,20,6.7,13.3,52,0,0,0,1,0,0,HeadPokemon
192,Sunflora,Sunflora,Grass,,75,75,55,105,85,30,0.8,1,8.5,0,50,0,0.5,2,94,1,0,0,0,0,0,0,5,18,22,MediumSlow,120,Grass,,20,6.7,13.3,146,0,0,0,2,0,0,BipedPokemon
193,Yanma,Yanma,Bug,Flying,65,65,45,75,45,95,1.2,1,38,0,50,0,0.5,1,95,0,1,38,0,0,0,0,2,6,14,MediumFast,75,Bug,,20,6.7,13.3,147,0,0,0,0,0,1,InsectPokemonWithWingsAndLegs
194,Wooper,Wooper,Water,Ground,55,45,45,25,25,15,0.4,1,8.5,0,50,0,0.5,1,96,0,1,20,0,0,0,0,2,4,10,MediumFast,255,Water1,Field,20,6.7,13.3,52,1,0,0,0,0,0,HeadPokemonWithLegs
195,Quagsire,Quagsire,Water,Ground,95,85,85,65,65,35,1.4,1,75,0,50,0,0.5,2,96,1,0,0,0,0,0,0,5,22,28,MediumFast,90,Water1,Field,20,6.7,13.3,137,2,0,0,0,0,0,BipedPokemonWithTail
196,Espeon,Espeon,Psychic,,65,65,60,130,95,110,0.9,1,26.5,0,50,0,0.125,2,67,1,0,0,0,0,0,0,7,26,34,MediumFast,45,Field,,35,11.7,23.3,197,0,0,0,2,0,0,QuadrupedPokemonWithPaws
197,Umbreon,Umbreon,Dark,,95,65,110,60,130,65,1,1,27,0,35,0,0.125,2,67,1,0,0,0,0,0,0,7,26,34,MediumFast,45,Field,,35,11.7,23.3,197,0,0,0,0,2,0,QuadrupedPokemonWithPaws
198,Murkrow,Murkrow,Dark,Flying,60,85,42,85,42,91,0.5,1,2.1,0,35,0,0.5,1,97,0,1,32,0,0,0,0,3,6,12,MediumSlow,30,Flying,,20,6.7,13.3,107,0,0,0,0,0,1,WingedPokemonWithBeak
199,Slowking,Slowking,Water,Psychic,95,75,80,100,110,30,2,1,79.5,0,50,0,0.5,2,33,1,0,0,0,0,0,0,6,32,38,MediumFast,70,Monster,Water1,20,6.7,13.3,164,0,0,0,0,3,0,BipedPokemonWithTail
200,Misdreavus,Misdreavus,Ghost,,60,60,60,85,85,85,0.7,1,1,0,35,0,0.5,1,98,0,1,32,0,0,0,0,3,6,12,Fast,45,Amorphous,,25,8.3,16.7,147,0,0,0,0,1,0,HeadPokemon
201,Unown,Unown,Psychic,,48,72,48,72,48,48,0.5,1,5,0,50,1,-1,1,99,1,0,0,0,0,0,1,4,25,25,MediumFast,225,Undiscovered,,40,13.3,26.7,61,0,1,0,1,0,0,HeadPokemon
202,Wobbuffet,Wobbuffet,Psychic,,190,33,58,33,58,33,1.3,1,28.5,1,50,0,0.5,2,100,1,0,0,0,0,0,0,4,18,26,MediumFast,45,Amorphous,,20,6.7,13.3,177,2,0,0,0,0,0,HeadPokemonWithBody
203,Girafarig,Girafarig,Normal,Psychic,70,80,65,90,65,85,1.5,1,41.5,0,50,0,0.5,1,101,1,0,0,0,0,0,0,4,18,26,MediumFast,60,Field,,20,6.7,13.3,149,0,0,0,2,0,0,QuadrupedPokemonWithHoovesAndTail
204,Pineco,Pineco,Bug,,50,65,90,35,35,15,0.6,1,7.2,0,50,0,0.5,1,102,0,1,31,0,0,0,0,2,6,12,MediumFast,190,Bug,,20,6.7,13.3,60,0,0,1,0,0,0,HeadPokemon
205,Forretress,Forretress,Bug,Steel,75,90,140,60,60,40,1.2,1,125.8,0,50,0,0.5,2,102,1,0,0,0,0,0,0,6,32,38,MediumFast,75,Bug,,20,6.7,13.3,118,0,0,2,0,0,0,HeadPokemon
206,Dunsparce,Dunsparce,Normal,,100,70,70,65,65,45,1.5,1,14,0,50,0,0.5,1,103,1,0,0,0,0,0,0,4,16,24,MediumFast,190,Field,,20,6.7,13.3,125,1,0,0,0,0,0,SnakePokemon
207,Gligar,Gligar,Ground,Flying,65,75,105,35,65,85,1.1,1,64.8,0,50,0,0.5,1,104,0,1,38,0,0,0,0,2,6,14,MediumSlow,60,Bug,,20,6.7,13.3,108,0,0,1,0,0,0,WingedPokemonWithJaw
208,Steelix,Steelix,Steel,Ground,75,85,200,55,65,30,9.2,2,400,1,50,0,0.5,2,41,1,0,0,0,0,0,0,8,40,48,MediumFast,25,Mineral,,25,8.3,16.7,196,0,0,2,0,0,0,SnakePokemon
209,Snubbull,Snubbull,Fairy,,60,80,50,40,40,30,0.6,1,7.8,0,50,0,0.75,1,105,0,1,23,0,0,0,0,1,4,12,Fast,190,Field,Fairy,20,6.7,13.3,63,0,1,0,0,0,0,BipedPokemon
210,Granbull,Granbull,Fairy,,90,120,75,60,60,45,1.4,1,48.7,0,50,0,0.75,2,105,1,0,0,0,0,0,0,5,24,30,Fast,75,Field,Fairy,20,6.7,13.3,178,0,2,0,0,0,0,BipedPokemonWithTail
211,Qwilfish,Qwilfish,Water,Poison,65,95,85,55,55,85,0.5,1,3.9,0,50,0,0.5,1,106,1,0,0,0,0,0,0,4,16,24,MediumFast,45,Water2,,20,6.7,13.3,100,0,1,0,0,0,0,FishPokemonWithPectoralCaudalDorsalFins
212,Scizor,Scizor,Bug,Steel,70,130,100,55,80,65,1.8,1,118,0,50,0,0.5,2,58,1,0,0,0,0,0,0,7,40,48,MediumFast,25,Bug,,25,8.3,16.7,200,0,2,0,0,0,0,InsectPokemonWithWingsAndLegs
213,Shuckle,Shuckle,Bug,Rock,20,10,230,10,230,5,0.6,1,20.5,0,50,0,0.5,1,107,1,0,0,0,0,0,0,5,18,26,MediumSlow,190,Bug,,20,6.7,13.3,80,0,0,1,0,1,0,InsectPokemonWith4Legs
214,Heracross,Heracross,Bug,Fighting,80,125,75,40,95,85,1.5,1,54,1,50,0,0.5,1,108,1,0,0,0,0,0,0,5,24,30,Slow,45,Bug,,25,8.3,16.7,200,0,2,0,0,0,0,BipedPokemon
215,Sneasel,Sneasel,Dark,Ice,55,95,55,35,75,115,0.9,1,28,0,35,0,0.5,1,109,0,0,0,0,0,0,0,3,12,20,MediumSlow,60,Field,,20,6.7,13.3,132,0,0,0,0,0,1,BipedPokemonWithTail
216,Teddiursa,Teddiursa,Normal,,60,80,50,50,50,40,0.6,1,8.8,0,50,0,0.5,1,110,0,1,30,0,0,0,0,1,5,12,MediumFast,120,Field,,20,6.7,13.3,124,0,1,0,0,0,0,BipedPokemonWithTail
